# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
0             	(-2.642149e-09 1.852141e-02 1.632342e-06)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-2.642149e-09 1.852141e-02 1.632342e-06)
